"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000MF4Gram" 0 0 0 0 0 0 0 0 0
"500MF4Gram" 0 0 0 0 0 0 0 0 0
"300MF4Gram" 0 0 0 0 0 0 0 0 0
"200MF4Gram" 0 0 0 0 0 0 0 0 0
"100MF4Gram" 0 0 0 0 0 0 0 0 0
