"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000WekaWord" "Pl.(1)/Luc.(15)/Longus(1)/DioChrys.(1)/Heliod.(1)" "Plu.(1)/Pl.(1)/Luc.(14)/Longus(1)/DioChrys.(1)/Heliod.(1)" "Pl.(1)" "Pl.(1)" "Pl.(1)/Luc.(29)/Theophr.(1)/Longus(1)/DioChrys.(1)/Hippoc.(1)/Iust.Mar.(1)/Lib.(1)/GregoriusLibanius(1)" "Pl.(5)/DioChrys.(1)" "Pl.(1)" "Antiph.(1)/Pl.(1)/Lys.(1)" "Plu.(1)/Pl.(1)/Luc.(2)/Longus(1)"
"500WekaWord" "Xen.(1)/Pl.(1)/Arist.(1)/DioChrys.(1)" "Xen.(2)/Pl.(2)/DioChrys.(1)" "Pl.(1)" "Pl.(1)" "Xen.(1)/Pl.(1)/Luc.(4)/DioChrys.(1)" "Xen.(1)/Pl.(1)/DioChrys.(1)" "Antiph.(1)/Pl.(1)/Lys.(2)" "Pl.(9)" "Xen.(1)/Pl.(1)/Lys.(2)/DioChrys.(1)"
"300WekaWord" "Xen.(1)/Pl.(1)/Luc.(3)/Arist.(1)/DioChrys.(1)" "Xen.(1)/Pl.(1)/Luc.(4)/Arist.(1)/DioChrys.(1)" "Xen.(4)/Pl.(1)" "Pl.(2)" "Xen.(8)/Pl.(1)" "Xen.(1)/Pl.(1)/Luc.(2)/DioChrys.(1)" "Antiph.(1)/Pl.(1)/Lys.(2)" "Eutr.(1)/Isoc.(1)/Pl.(1)/Diod.Sic.(1)/Arist.(1)/Theophr.(1)/Lys.(2)/Polyb.(1)/Polyaenus(2)/Sozom.(1)/Socrates(1)/Evagrius(1)/Zos.(1)/Theodoretus(1)/Schol.Eur.(1)" "Xen.(1)/Pl.(1)/Arist.(1)"
"200WekaWord" "Pl.(1)/DioChrys.(1)/Lib.(7)" "Pl.(1)/Luc.(6)/DioChrys.(1)" "Pl.(1)/Lys.(2)" "Pl.(1)/Lys.(2)" "Pl.(1)/Luc.(14)/DioChrys.(1)" "Gal.(1)/Pl.(3)" "Pl.(3)/Luc.(1)" "Pl.(4)" "Pl.(1)/DioChrys.(1)"
"100WekaWord" "Xen.(1)/Pl.(1)/Luc.(1)/Alcid.(1)/DioChrys.(1)/Lib.(2)" "Xen.(1)/Pl.(2)/Luc.(2)/DioChrys.(1)" "Pl.(3)/Luc.(1)" "Pl.(2)/Luc.(1)" "Pl.(1)/Luc.(4)/DioChrys.(1)" "Pl.(5)/Luc.(1)/Lys.(1)" "Pl.(3)/Luc.(1)" "Xen.(3)/Pl.(1)/Luc.(3)" "Pl.(1)/Luc.(1)/DioChrys.(1)"
