"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"810MenexMFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Euseb.(1)/Agathias(1)" "Pl.(1)/Luc.(12)/MaximusTyrius(1)/Ps.-Iust.Mar.(1)/Lib.(1)" "Pl.(1)" "Pl.(1)" "Thuc.(1)/Pl.(1)/Agathias(1)" "Isoc.(6)/Pl.(1)/Lys.(1)/DioChrys.(1)" "Pl.(1)" "Pl.(1)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"500MenexMFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Euseb.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Euseb.(2)/Agathias(1)" "Pl.(1)" "Pl.(1)" "Thuc.(1)/Pl.(1)/Agathias(1)" "Pl.(4)/Luc.(1)/DioChrys.(1)" "Pl.(1)" "Pl.(1)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"300MenexMFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Euseb.(1)/Agathias(1)" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Pl.(1)" "Pl.(2)/DioChrys.(1)" "Gal.(1)/Pl.(1)/Lib.(3)/GregoriusLibanius(1)" "Pl.(1)/Lys.(1)/DioChrys.(1)" "Pl.(1)" "Pl.(2)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"200MenexMFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Euseb.(1)/Agathias(1)" "Pl.(1)/Clem.Al.(1)/Iust.Mar.(2)/Ps.-Iust.Mar.(1)/Athenagoras(1)/Theoph.(1)/Lib.(1)/Cyril.Alex.(1)" "Pl.(1)" "Xen.(4)/Pl.(2)/DioChrys.(1)/Porph.(1)" "Philo(12)/Pl.(1)/Clem.Al.(1)/Ps.-Iust.Mar.(1)/Athenagoras(1)/Theoph.(1)/Greg.Naz.(1)/Lib.(1)/Cyril.Alex.(1)/GregoriusLibanius(1)" "Pl.(2)" "Antiph.(1)/Pl.(1)/Lys.(4)" "Pl.(1)/Lys.(4)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"100MenexMFW" "Thuc.(1)/Gal.(1)/Pl.(1)/Agathias(1)" "Thuc.(1)/Gal.(1)/Pl.(1)/Agathias(1)" "Thuc.(1)/Xen.(3)/Pl.(1)/Agathias(1)" "Pl.(8)" "Gal.(1)/Pl.(1)/Luc.(21)/Longus(1)/MaximusTyrius(1)/DioChrys.(1)/Heliod.(1)/GregoriusLibanius(1)" "Pl.(2)" "Pl.(1)/Luc.(1)/DioChrys.(1)/Ps.-Iust.Mar.(1)" "Gal.(2)/Pl.(1)/DioChrys.(1)/Porph.(1)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
