"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000MF4Gram" "Thuc.(1)/Hdn.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)" "Pl.(1)/Luc.(3)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdt.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(3)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Xen.(4)/Pl.(1)" "Thuc.(1)/Hdt.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(3)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdt.(1)/Xen.(4)/Pl.(1)/Luc.(2)/Arr.(3)/Arist.(2)/Paus.(1)/Hippoc.(1)/Agathias(1)" "Pl.(1)/Arist.(1)"
"500MF4Gram" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Epiph.(1)/Agathias(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)/Arist.(2)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Hippoc.(1)/Agathias(1)" "Pl.(1)/Lys.(1)" "Pl.(1)/Luc.(5)/DioChrys.(1)/Hippoc.(1)/Porph.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Hdt.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(3)/Paus.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Agathias(1)"
"300MF4Gram" "Thuc.(1)/Pl.(1)/Luc.(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Greg.Naz.(1)/Lib.(1)/Agathias(1)/GregoriusLibanius(1)" "Thuc.(1)/Xen.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Xen.(10)/Pl.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Hippoc.(1)/Agathias(1)" "Pl.(1)/Luc.(1)/Agathias(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(2)/Arr.(1)/Hippoc.(1)/Epiph.(1)/Agathias(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Gal.(1)/Porph.(1)/Agathias(1)"
"200MF4Gram" "Thuc.(1)/Pl.(1)/Arr.(1)/App.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Arr.(1)/App.(10)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)/Hippoc.(1)/Epiph.(1)/Agathias(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Arr.(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Xen.(2)/Pl.(1)/Luc.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)" "Thuc.(1)/Xen.(2)/Pl.(1)/Luc.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Agathias(1)"
"100MF4Gram" "Thuc.(1)/Pl.(1)/Arr.(1)/App.(10)/Agathias(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Euseb.(2)/Porph.(1)/Agathias(1)/Cyril.Alex.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Agathias(1)" "Xen.(4)/Pl.(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Agathias(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Arr.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(2)/Dicaearchus(1)/Epiph.(1)/Agathias(1)" "Thuc.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Agathias(1)/GregoriusLibanius(1)"
