"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"859Weka4Gram" "Plu.(1)/Pl.(1)/Luc.(1)/Artem.(1)/Hermog.(1)/DioChrys.(1)/Iamb.(1)/Porph.(2)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Luc.(1)/Arr.(1)" "Pl.(1)" "Thuc.(1)/Xen.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Arist.(1)" "Xen.(4)/Pl.(1)/Arist.(1)" "Thuc.(1)/Hdn.(1)/Xen.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Paus.(1)" "Pl.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(1)/Paus.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(1)"
"500Weka4Gram" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(1)" "Plu.(1)/Gal.(1)/Pl.(1)/Luc.(1)/Gal.(1)/Heliod.(1)/Iamb.(1)/Porph.(3)/Theodoretus(1)" "Pl.(1)" "Thuc.(1)/Xen.(1)/Pl.(1)/Luc.(1)/Arr.(1)/Arist.(1)" "Xen.(5)/Pl.(1)" "Eutr.(1)/Thuc.(1)/Xen.(1)/Pl.(1)/Diod.Sic.(1)/Arr.(1)/Lys.(1)/Polyb.(1)/Polyaenus(2)/Zos.(1)" "Pl.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)" "Pl.(1)/Luc.(2)/DioChrys.(1)"
"300Weka4Gram" "Thuc.(1)/Xen.(4)/Pl.(1)/Arr.(1)/Arist.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(1)/Arist.(1)" "Pl.(1)" "Thuc.(1)/Xen.(4)/Pl.(1)/Arr.(1)/Arist.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(1)/Arist.(1)" "Thuc.(1)/Xen.(1)/Pl.(1)/Luc.(1)" "Pl.(1)" "Pl.(1)/Lys.(1)" "Xen.(1)/Pl.(1)/Arist.(1)/DioChrys.(1)"
"200Weka4Gram" "Xen.(3)/Pl.(1)/Arist.(1)" "Xen.(4)/Pl.(1)/Arist.(1)" "Pl.(1)" "Xen.(4)/Pl.(1)" "Isoc.(1)/Xen.(4)/Pl.(1)/Arist.(1)/Lys.(3)" "Xen.(4)/Pl.(1)" "Pl.(1)/Lys.(1)" "Pl.(1)/Lys.(1)" "Xen.(2)/Pl.(1)/Arist.(1)/Lys.(2)"
"100Weka4Gram" "Xen.(4)/Pl.(1)" "Hdt.(1)/Xen.(4)/Pl.(1)" "Xen.(4)/Pl.(1)" "Pl.(1)/Lys.(3)" "Isoc.(1)/Xen.(4)/Pl.(1)/Lys.(3)" "Xen.(4)/Pl.(1)/Arist.(1)" "Pl.(4)" "Xen.(4)/Pl.(1)/Lys.(1)" "Xen.(1)/Pl.(1)/Lys.(2)"
