"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t.SNE"
"1000WekaWord" "tlg0059(1)/tlg0062(15)/tlg0561(1)/tlg0612(1)/tlg0658(1)" "tlg0007(1)/tlg0059(1)/tlg0062(14)/tlg0561(1)/tlg0612(1)/tlg0658(1)" "tlg0059(1)" "tlg0059(1)" "tlg0007(4)/tlg0059(1)/tlg0555(2)/tlg0627(1)/tlg0646(1)/tlg1205(1)/tlg2022(1)/tlg2200(1)/tlg9006(1)" "tlg0059(5)/tlg0612(1)" "tlg0059(1)" "tlg0028(1)/tlg0059(1)/tlg0540(3)" "tlg0059(1)/tlg0062(3)/tlg0074(1)/tlg0612(1)/tlg0658(1)"
"500WekaWord" "tlg0032(1)/tlg0059(1)/tlg0612(1)" "tlg0032(1)/tlg0059(1)/tlg0062(4)/tlg0612(1)" "tlg0059(1)" "tlg0059(1)" "tlg0032(1)/tlg0059(1)/tlg0062(4)/tlg0612(1)" "tlg0032(1)/tlg0059(1)/tlg0612(1)" "tlg0028(1)/tlg0059(1)/tlg0540(2)" "tlg0059(8)" "tlg0032(1)/tlg0059(1)/tlg0540(2)/tlg0612(1)"
"300WekaWord" "tlg0032(1)/tlg0059(1)/tlg0062(3)/tlg0086(1)/tlg0612(1)" "tlg0032(1)/tlg0059(1)/tlg0062(5)/tlg0086(1)/tlg0612(1)" "tlg0059(1)/tlg0540(2)" "tlg0059(2)" "tlg0032(1)/tlg0059(2)" "tlg0032(1)/tlg0059(1)/tlg0062(2)/tlg0612(1)" "tlg0028(1)/tlg0059(1)/tlg0540(2)" "tlg0032(8)/tlg0059(1)/tlg0612(1)" "tlg0032(1)/tlg0059(1)/tlg0086(1)"
"200WekaWord" "tlg0032(4)/tlg0059(2)/tlg0540(1)/tlg0612(1)" "tlg0059(1)/tlg0062(9)/tlg0612(1)" "tlg0059(1)/tlg0540(2)" "tlg0059(3)" "tlg0059(1)/tlg0062(14)/tlg0612(1)" "tlg0032(1)/tlg0057(1)/tlg0059(3)" "tlg0032(3)/tlg0059(1)/tlg0062(1)" "tlg0032(7)/tlg0059(2)/tlg0062(1)" "tlg0059(1)/tlg0612(1)"
"100WekaWord" "tlg0032(1)/tlg0059(1)/tlg0062(1)/tlg0612(1)" "tlg0032(1)/tlg0059(2)/tlg0062(1)/tlg0612(1)" "tlg0059(3)/tlg0062(1)" "tlg0059(2)/tlg0062(1)" "tlg0010(1)/tlg0028(1)/tlg0032(4)/tlg0059(2)/tlg0540(1)/tlg0612(1)" "tlg0059(5)/tlg0062(1)/tlg0540(1)" "tlg0032(1)/tlg0059(1)/tlg0086(1)/tlg0093(1)/tlg0612(1)/tlg0732(1)" "tlg0059(6)/tlg0062(1)" "tlg0059(1)/tlg0062(1)/tlg0612(1)"
"859Weka4Gram" "tlg0059(1)/tlg0062(12)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg2021(1)" "tlg0059(1)" "tlg0003(1)/tlg0032(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg0086(1)" "tlg0032(4)/tlg0059(1)/tlg0086(1)" "tlg0003(1)/tlg0015(1)/tlg0032(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg0525(1)" "tlg0059(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg0525(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(1)"
"500Weka4Gram" "tlg0007(1)/tlg0057(1)/tlg0059(1)/tlg0530(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)/tlg2034(2)/tlg4089(1)" "tlg0007(1)/tlg0057(1)/tlg0059(1)/tlg0062(1)/tlg0530(1)/tlg0646(1)/tlg0658(1)/tlg2023(1)/tlg2034(3)/tlg4089(1)" "tlg0059(1)" "tlg0059(4)" "tlg0032(5)/tlg0059(1)" "tlg0003(1)/tlg0032(1)/tlg0059(1)/tlg0074(1)/tlg0540(1)" "tlg0059(1)" "tlg0059(1)/tlg0540(3)" "tlg0059(1)/tlg0062(2)/tlg0612(1)"
"300Weka4Gram" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0074(1)/tlg0086(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(1)/tlg0086(1)" "tlg0059(1)" "tlg0059(1)/tlg0086(1)/tlg0612(1)/tlg2034(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(1)/tlg0086(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)" "tlg0059(1)/tlg0540(1)" "tlg0059(1)/tlg0540(1)" "tlg0032(2)/tlg0059(1)/tlg0086(1)/tlg0612(1)"
"200Weka4Gram" "tlg0032(3)/tlg0059(1)/tlg0086(1)" "tlg0032(4)/tlg0059(1)/tlg0086(1)" "tlg0059(1)/tlg0086(1)/tlg0553(1)/tlg0612(1)/tlg2034(1)" "tlg0059(1)/tlg0086(1)/tlg0612(1)/tlg2034(2)" "tlg0016(1)/tlg0032(4)/tlg0059(1)/tlg0086(1)" "tlg0014(3)/tlg0059(1)/tlg0540(1)" "tlg0059(1)/tlg0540(1)" "tlg0059(1)/tlg0540(1)" "tlg0032(2)/tlg0059(1)/tlg0086(1)/tlg0540(2)"
"100Weka4Gram" "tlg0003(1)/tlg0032(2)/tlg0059(1)/tlg0074(1)/tlg0086(1)/tlg0540(1)" "tlg0014(3)/tlg0032(5)/tlg0059(1)/tlg0540(4)" "tlg0032(3)/tlg0059(1)" "tlg0059(1)/tlg0540(3)" "tlg0010(1)/tlg0032(4)/tlg0059(1)/tlg0540(3)" "tlg0032(4)/tlg0059(1)/tlg0086(1)" "tlg0032(4)/tlg0059(1)" "tlg0032(4)/tlg0059(1)/tlg0540(1)" "tlg0032(1)/tlg0059(1)/tlg0540(2)"
"810MenexMFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(2)/tlg4024(1)" "tlg0059(1)" "tlg0059(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg4024(1)" "tlg0059(1)/tlg0540(1)/tlg0612(1)" "tlg0059(1)" "tlg0059(1)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"500MenexMFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)" "tlg0059(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(1)/tlg4024(1)" "tlg0059(4)/tlg0062(1)/tlg0612(1)" "tlg0059(1)" "tlg0059(1)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"300MenexMFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)" "tlg0059(2)/tlg0612(1)" "tlg0057(1)/tlg0059(1)/tlg0627(2)" "tlg0059(1)/tlg0062(1)/tlg0612(1)" "tlg0028(1)/tlg0059(1)" "tlg0059(2)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"200MenexMFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg2018(1)/tlg4024(1)" "tlg0059(1)/tlg0062(5)/tlg0555(1)/tlg0612(1)/tlg0646(1)/tlg1205(1)/tlg1725(1)/tlg2200(1)/tlg4090(1)" "tlg0028(1)/tlg0059(1)/tlg0540(1)" "tlg0059(1)/tlg0612(1)/tlg2034(1)" "tlg0007(1)/tlg0059(1)/tlg0062(14)/tlg0561(1)/tlg0563(1)/tlg0612(1)/tlg0640(1)/tlg0658(1)/tlg2200(1)/tlg9006(1)" "tlg0059(6)" "tlg0057(2)/tlg0059(1)/tlg0612(1)/tlg2034(1)" "tlg0059(1)/tlg0540(4)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"100MenexMFW" "tlg0003(1)/tlg0057(1)/tlg0059(1)/tlg4024(1)" "tlg0003(1)/tlg0057(1)/tlg0059(1)/tlg0062(1)/tlg0646(1)/tlg2200(1)/tlg4024(1)/tlg4090(1)" "tlg0003(1)/tlg0032(3)/tlg0059(1)/tlg4024(1)" "tlg0059(1)/tlg0554(1)/tlg0561(1)/tlg0563(1)/tlg0612(1)/tlg0627(1)/tlg0640(1)/tlg0658(1)/tlg2018(1)/tlg2034(1)" "tlg0057(1)/tlg0059(1)/tlg0062(3)/tlg0093(1)/tlg0527(1)/tlg0530(1)/tlg0555(1)/tlg0645(3)/tlg1725(1)/tlg4090(1)" "tlg0059(2)" "tlg0059(1)/tlg0062(1)/tlg0612(1)/tlg0646(1)/tlg2200(1)" "tlg0059(1)/tlg0540(6)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
