"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000MFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(2)/Agathias(1)" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Isoc.(14)/Pl.(1)/Lys.(1)" "Antiph.(1)/Pl.(1)/Lys.(3)" "Thuc.(1)/Gal.(1)/Pl.(1)/Hippoc.(2)/Agathias(1)" "Isoc.(14)/Pl.(1)/Lys.(1)" "Xen.(7)/Pl.(1)/Luc.(1)" "Thuc.(1)/Hdt.(1)/Xen.(4)/Pl.(1)/Luc.(1)/Arr.(5)/Paus.(1)" "Plu.(1)/Pl.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"500MFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(2)/Agathias(1)" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Xen.(4)/Pl.(1)" "Antiph.(1)/Xen.(8)/Pl.(1)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Agathias(1)" "Pl.(1)/Lys.(1)" "Antiph.(1)/Pl.(1)/Lys.(3)" "Antiph.(1)/Pl.(1)/Lys.(4)" "Plu.(1)/Pl.(1)/Luc.(1)/Longus(1)/DioChrys.(1)/Heliod.(1)"
"300MFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(2)/Agathias(1)" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Antiph.(2)/Pl.(1)/Lys.(2)" "Antiph.(1)/Pl.(1)/Lys.(4)" "Thuc.(1)/Hdn.(1)/Pl.(1)/Agathias(1)" "Pl.(2)" "Antiph.(1)/Pl.(1)/Lys.(3)" "Xen.(2)/Pl.(1)/Arist.(1)/Lys.(5)" "Pl.(1)/Luc.(1)/MaximusTyrius(1)/DioChrys.(1)/Heliod.(1)/Lib.(1)"
"200MFW" "Thuc.(1)/Hdn.(1)/Pl.(1)/Arr.(2)/Agathias(1)" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Antiph.(1)/Pl.(1)/Lys.(3)" "Antiph.(1)/Pl.(1)/Lys.(4)" "Thuc.(1)/Pl.(1)/Agathias(1)" "Pl.(2)" "Antiph.(1)/Pl.(1)/Lys.(4)" "Antiph.(1)/Xen.(2)/Pl.(1)/Arist.(1)/Lys.(5)" "Pl.(1)/Luc.(2)/DioChrys.(1)"
"100MFW" "Thuc.(1)/Pl.(1)/Arr.(1)/Hippoc.(1)/Agathias(1)" "Thuc.(1)/Gal.(1)/Pl.(1)/Agathias(1)" "Pl.(1)/Luc.(1)/MaximusTyrius(1)/DioChrys.(1)/Hippoc.(1)/Alciphro(1)/Ps.-Iust.Mar.(1)/Heliod.(1)/Porph.(1)" "Xen.(4)/Pl.(2)" "Plu.(1)/Gal.(1)/Pl.(1)/Luc.(14)/Longus(1)/MaximusTyrius(1)/DioChrys.(1)/Alciphro(1)/Heliod.(1)" "Pl.(2)" "Pl.(1)/Luc.(1)/DioChrys.(1)/Ps.-Iust.Mar.(1)/Lib.(1)/Agathias(1)" "Pl.(1)/Luc.(12)/Artem.(1)/MaximusTyrius(1)/DioChrys.(1)/Hippoc.(1)/Alciphro(1)/Porph.(1)" "Pl.(1)/Luc.(7)/Clem.Al.(1)/DioChrys.(1)"
