"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000MFW" 0 0 0 0 0 0 0 0 0
"500MFW" 0 0 4 0 0 0 0 0 0
"300MFW" 0 0 0 0 1 5 0 0 0
"200MFW" 0 0 0 0 0 1 0 0 0
"100MFW" 0 0 0 1 0 1 0 0 0
