"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"859Weka4Gram" 0 0 0 0 0 0 0 0 0
"500Weka4Gram" 0 0 0 3 0 0 0 0 0
"300Weka4Gram" 0 0 0 0 0 0 0 0 0
"200Weka4Gram" 0 0 0 0 0 0 0 0 0
"100Weka4Gram" 0 0 0 0 0 0 0 0 0
