"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t-SNE"
"1000MFW" 76.88 76.25 77.75 78.88 76 78.12 78.25 76.88 74.38
"500MFW" 76.5 75.88 77.12 78.75 75.5 78.62 77.25 77.5 74
"300MFW" 76.12 75.5 77 78.12 75.75 78.5 78.62 76.5 73.38
"200MFW" 75.88 75 77.88 78.75 75.62 77.62 78.62 77.38 73.38
"100MFW" 75.38 74.62 78.62 79 75.25 77.75 77.25 76.88 72.12
